Abbreviation,Term
col smk shell,coloured smoke shell
COM,Commander of the Order of Merit of the Police Forces
Comd CA,Commander of the Canadian Army
COMEDGP,corps medical group
Comm Res Det Shilo,Communications Reserve Detachment Shilo
COMPT Asst CMP - DGMPSS,Comptroller of Assistant Chief of Military Personnel and Director General Military Personnel Support
Compt LFC,Comptroller Land Force Command
COMSEC O,communications security officer
CONOP,contingency operation
CONOPLAN,contingency operation plan
CONOPS,concept of operations
CONPLAN,contingency plan
const engr,construction engineers
Contract O,contracts officer
coord instr,coordination instruction
coord pt,coordinating point
COP,common operational picture
COREX,crew operational and readiness exercise
corps tps,corps troops
COS,change of strength
COS,chief of staff
COS JFG,chief of staff joint force generation
COS Land Ops,Chief of Staff Land Operations
COSMIC Con O,COSMIC control officer
COTS,commercial off-the-shelf
Coxn,coxswain
COLPRO,collective protection
CP,command post
CPO 1,"chief petty officer, 1st class"
CPO 2,"chief petty officer, 2nd class"
CPRR ,Civilian Performance Review Report
CPSM,Canadian Peacekeeping Service Medal
CPU,Close Protection Unit
CP veh,command post vehicle
CRC,control and reporting centre
CRC (A),Conflict Resolution Centre (Atlantic)
CR Clk,central registry clerk
CRDA,Continuous Review and Data Analysis
Cred Ver,Credentialing and Verification
CRMP,Canadian Rangers Modernization Project
CRNA,Canadian Rangers National Authority
CROMIS,Client-Reported Outcomes Management Information System
CRPG,Canadian Rangers Patrol Group
CRPTC,Connaught Range Primary Training Centre
CRS,control and reporting system
CRS,Chief Review Services
crypto,cryptographie
crypto,cryptography
CRZ,Classified Restricted Zone
CSAM,crew situational awareness monitor
CSAR,combat search and rescue
CSE,Communication Security Establishment
CSEC,Communications Security Establishment Canada
CSEO,Combat Systems Engineering Officer
CSG,Canadian Support Group
CSN,Canadian Switched Network
CSNI,Consolidated Secret Network Infrastructure
CSSS,Canadian Space Surveillance System
CSU,Canadian Support Unit
CT,Chief of Transformation
CTC,Combat Training Centre
CTDC,Classified Test and Development Centre
CTS,course training standards
CTSO,counterterrorist special operations
CUA,clothing upkeep allowance
CUSRPG,Canada – United States Regional Planning Group
CV,command vehicle
CV,Cross of Valour
CVO,Commander of the Royal Victorian Order
CW,chemical warfare
CWC,chemical weapons convention
CWO,chief warrant officer
D2BNET,Defence-to-Business Network
D2P,Defence-to-Partners
D2Pnet,Defence-to-Partners Network
D Law,Director of Law
D Med Pol,Director Medical Policy
DA coy,direct action company
DAIO,division artillery intelligence officer
D Air FR,Director Air Force Readiness
DAOD,Defence Administrative Orders and Directives
DART,Disaster Assistance Response Team
DBMC,Defence Business Management Capability
DBMCT,Defence Business Management Capability Transformation
DCAAR,Defence Controlled Access Area Regulations
DCO,deputy commanding officer
DCOS,deputy chief of staff
DCOS FTA,Deputy Chief of Staff Formation Technical Authority
DCP,Defence Capability Plan
DCR,Designated Client Representative
DCS,Defence Compute Services
DCSE,Distributed Computing Services Engineering
DDC,Defence Diversity Council
DDH,destroyer helicopter carrying
DDIO,DCDS Direction for International Operations
Deck O,deck officer
DEDS,Defence Electronic Directory Service
DEM,director of staff
DEMS,Defence Electronic Mail System
Dent O,dental officer
DEW,directed-energy weapon
DF,direction-finding
DFSR,Defence Force Structure Review
DFSV,direct fire support vehicle
DGAEPMFT,Director General Aerospace Equipment Program Management (Fighters and Trainers) 
DG Air Res,Director General Air Reserve
DPG,Defence Planning Guidance
DH,double-hatted
DIG,Defence Industry Gateway
DIHRS,Defence Integrated Human Resource System
DIN,Defence Information Network
DISB,Defence Information Services Broker
Div O,diving officer
DJA,Deputy Judge Advocate
DJAG/COS,Deputy Judge Advocate General/Chief of Staff
DKIM PERMIS,Director Knowledge and Information Management – Personnel Electronic Records Management Information System
DLOC,deployment level of capability
DM,Deputy Minister of National Defence
DMOC,Defence Management Oversight Committee
D Mus,Director of Music
DND,Department of National Defence
DNDAF,Department of National Defence and the Canadian Forces Architecture Framework
DO,duty officer
DOB,date of birth
DOS,director of staff
Dot Ext ,Dotation Externe
DPALC,Defence Public Affairs Learning Centre
DPB,Defence Planning Board
DPC,Defence Planning Committee
DRACS,Deployable Remote Access Communication System
DRDC,Defence Research and Development Canada
DRDC ISSO,Defence Research and Development Canada Information Systems Security Officer
DRDC NCR SEC,Defence Research and Development Canada National Capital Region Security
DRMIS  ,Defence Resource Management Information System
DRP,Distribution Resource Planning
DRTSET,Deployment Readiness Training Standardization and Evaluation Team
DRZ,Designated Restricted Zone
DS,directing staff
DSO,departmental security officer
DSO,duty staff officer
DSP,Defence Services Programme
DSST,deployed SIGINT support team
DSX,Defence Strategic Executive Committee
DTB,Defence Terminology Bank
DTFC,Deputy Task Force Commander
DTMS,Defence Terminology Management System
DTMSS,Defence Terminology Management Software Suite
DTP,Defence Terminology Programme
DTS,Defence Terminology Section
DTSB,Defence Terminology Standardization Board
Duty NCO,duty non-commissioned officer
DVMAG,Defence Visible Minority Advisory Group
DVPN,Defence Virtual Private Network
DVPNI,Defence Virtual Private Network Infrastructure
DVPNI,Defence Virtual Private Networking Infrastructure
DWAN,Defence Wide Area Network
DWAO,Defence Women’s Advisory Organization
EAC,echelon above corps
EAF,Entity Armed Forces
EBS,Enterprise Backup Services
ECS,environmental chief of staff
edn,education
ED&T,Exemption from Duty and Training
EEFI,essential elements of friendly information
EER,explosive echo ranging
EITSM,Enterprise Information Technology Service Management
EMSEC,emission security
ENDEX,end of exercise
Eng O,engineering officer
EO,enabling objective
EOOW,engineer officer of the watch
ERA,explosive reactive armour
ERC,enhanced reliability check
ERC,Expeditionary Readiness Centre
ERN,equipment registration number
ERP,extended-range projectile
ERT,emergency response team
ESB,Electronic Selection Board
ETA,estimated time of arrival
ETC,estimated time of completion
ETD,estimated time of departure
ETR,estimated time of return
ETRO,estimated time of return to operation
ETT,Embedded Training Team
EW,early warning
EW,electronic warfare
EWCC,electronic warfare coordination centre
EWOC,electronic warfare operations centre
EWR,early-warning radar
EWSET,Electronic Warfare Standardization and Evaluation Team
exam,examination
Ext Staff,External Staffing
F of F,field of fire
F&E,furniture and effects
FA,first aid
FAA,forward administrative area
FAASV,field artillery ammunition support vehicle
FAC,forward air controller
FACOM,forward area command
FACP,forward air control post
FARP,forward arming and refuelling point
FASC,forward air support centre
FASCAM,family of scatterable mines
FASM,functional application support manager
FASTAR,forward area surveillance and target acquisition radar
FC,fire chief
FCZ,forward combat zone
fd hosp,field hospital
fd surg hosp,field surgical hospital
FDA,foreign duty allowance
FDU(A),Fleet Diving Unit (Atlantic)
FDU(P),Fleet Diving Unit (Pacific)
Feb,February
FEBA,forward edge of the battle area
FEROP,ferry operation
FFC,field firing centre
FFCP,Future Fighter Capability Project
FFR,fitted for radio
FG,force generation
FGISM,Federated Ground Infrastructure for Satellite Missions
FHP,force health protection
FIBUA,fighting in built-up areas
Fin Clk,finance clerk
Fin O,finance officer
FIR,flight information region
FIS,flight information service
FLCC,forward logistics control centre
FLET,forward line of enemy troops
FLG,forward logistics group
FLIP,flight information publication
FLOC,forward logistics operations centre
FlogO,Formation Logistics Officer
FLOT,forward line of own troops
FLS,forward logistic site
FLT PLN,flight plan
FM,fire marshal
FMF,fleet maintenance facility 
fmn,formation
FMRU,forward medical replenishment unit
FMSD,forward medical supply depot
FNP,fonds non publics
FO,flag-officer
FOA,field operations allowance
FOB,forward operating base
FOL,first official language
fol,follow
FOO,forward observation officer
food svcs,food services
Food Svcs O,food services officer
FP,force protection
FPF,final protective fire
FPX,free-play exercise
FRC,forward regulating centre
FRG,forward repair group
FRP,forward repair platoon
FRT,forward repair team
FSH,forward surgical hospital
FSO,flight safety officer
FSPI,"Foreign Service, Pension and Insurance"
FST,field surgical team
FSV,fire support vehicle
FTC,Federal Terminology Council
FTT,field transfusion team
FTTS,field technical training squadron
FTX,field training exercise
FUM,follow-up meeting
FY,fiscal year
FYA,for your action
FYI,for your information
G1,G1 Personnel and Administration
G1 Svc,G1 Service
G3,G3 Operations
G4,G4 Logistics
G5 ,G5 Public Affairs
G6,G6 TCCCS and Informatics
G9,G9 Liaison and Coordination Office Civil-Military Cooperation
GA,ground attack
GAF,ground attack fighter
GBR,ground-based radar
GBS,ground-based sensor
GC,Government of Canada
GCA,ground-controlled approach
GCI,ground-controlled interception
GCS,General Campaign Star
GCS,ground control station
GEDS,Government Electronic Directory Services
gen offr,general officer
gen offrs,general officers
geo,geographic
geom,geomatics
GFI,government furnished information
GGFG,Governor General’s Foot Guards
GGHG,Governor General’s Horse Guards
GLO,ground liaison officer
GOL,general officer list
gp,grouping
GPO,gun position officer
grd,ground
GSG HQ,General Support Group Headquarters
GSM,General Service Medal
GSM,government supplied materiel
GSM,Group Sergeant-Major
GSNCM,general specification non-commissioned members
GSO,general safety officer
GSO,general specification officers
GSR,ground surveillance radar
GST,geomatics support team
GSW,gunshot wound
GW,guided weapon
HA,holding area
HAO,humanitarian-assistance operation
har,harbour
Hast & PER,The Hastings and Prince Edward Regiment
HAW,heavy anti-tank weapon
hd,head
HE,high explosive
Hel OTS,Helicopter Operational Training Squadron
HEP,high explosive plastic
HF,harassing fire
HF,high frequency
HHT,house hunting trip
HICON,higher control
HIDACZ,high density airspace control zone
HLAD,high level air defence
HLTA,home leave travel allowance
HLVW,heavy logistic vehicle wheeled
HMC Dockyard ,Her Majesty’s Canadian Dockyard 
HMCS,Her Majesty’s Canadian Ship
HMCS BYTOWN,Her Majesty’s Canadian Ship BYTOWN
HMCS ORIOLE,Her Majesty’s Canadian Ship ORIOLE
HMG,heavy machine-gun
HMO,hazardous material officer
HMV,high mobility vehicle
HN,host nation
HOB,height of burst
HoD,head of delegation
HOTEF,Helicopter Operational Test and Evaluation Facility
HOTPHOTOREP,hot photographic report
HOTREP,hot report
HP,high pressure
HPMW,high-power microwaves weapon
HPT,high pay-off target
HPTL,high pay-off target list
HQ,headquarters
HQ & Svcs Bty,headquarters and services battery
HQ & Svcs Coy,headquarters and services company
HQ OR,headquarters orderly room
hr,hour
HRBM,Human Resource Business Manager
HRBTO,Civilian Human Resources Business Transformation Office
HRMS,Human Resource Management System
HRMT,Human Resources Management Team
HRPA,Human Resources Project Assistant 
Hsng O,housing officer
HSSV,high-speed surface vessel
HT,high tension
HUD,head-up display
HUMRO,humanitarian-relief operation
HVT,high-value target
hy,heavy
hy mor,heavy mortar
i.e.,that is
IA,immediate action
IA,investigative airworthiness
IAW,in accordance with
IC,in charge
ICAC,intelligence collection and analysis centre
ident,identity
IEC,International Electrotechnical Commission
IFF,"identification, friend or foe"
IG,instructor in gunnery
IM,information management
IMCAT,Information Management Crisis Action Team
IMD,Information Management Directives
IM Gp,Information Management Group
IMI,Information Management Infrastructure
IMLC,interim medium lift capability
IMRS,Integrated Managed Readiness System
IMS,international military staff
IMS,International Military Staff
IMTP,Information Management Terminology Panel
incl,include
incl,included
incl,inclure
incl,inclus
incl,inclusif
incl,inclusion
incl,inclusive
incl,inclusively
indoc,indoctrination
inf,infantry
inf hy BG,infantry heavy battle group
info,for the information of
info,inform
info,information
info arch,information architecture
Info O,information officer
info ops,information operations
info svcs,information services
insp,inspect
